Date,Revenue,COGS
1/23/2013,2836455.88,2322088.98
1/24/2013,2522924.71,2102458.71
1/25/2013,2823082.71,2273250.41
1/26/2013,2312290.79,1869897.73
1/27/2013,3818881.29,3023842.24
1/28/2013,5008712.77,4035190.91
1/29/2013,4833870.43,4015854.7
1/30/2013,4296295.37,3414688.28
1/31/2013,3378679.46,2731823.14
2/1/2013,4073777.92,3289266.58
2/2/2013,2351969.75,1915236.16
2/3/2013,2743224.75,2293960.05
2/4/2013,3599084.22,2986552.92
2/5/2013,3829186.14,3181079.49
2/6/2013,2313071.08,1919077.04
2/7/2013,2839296.13,2338660.54
2/8/2013,2648161.4,2136088.4
2/9/2013,2957587.36,2354253.06
2/10/2013,3380985.73,2832001.18
2/11/2013,4189315.44,3426089.62
2/12/2013,3967295.55,3276616.25
2/13/2013,3156812.35,2628245.52
2/14/2013,3286622.13,2725794.93
2/15/2013,2860640.37,2293142.09
2/16/2013,3339909.75,2755975.45
2/17/2013,3433567.61,2907659.44
2/18/2013,4473211.04,3823113.82
2/19/2013,4318301.23,3421155.04
2/20/2013,3392471.04,2787089.48
2/21/2013,3412803.18,2676550.95
2/22/2013,3535377.38,2908690.59
2/23/2013,4286140.45,3439856.85
2/24/2013,5419232.89,4431878.1
2/25/2013,9128225.25,7430696.94
2/26/2013,6762535.71,5653323.87
2/27/2013,5716765.68,4880975.48
2/28/2013,4367566.41,3573846.75
3/1/2013,2693901.21,2256905.73
3/2/2013,279813.94,236576.31
3/3/2013,1959484.08,1505793.8
3/4/2013,1412869.43,1130489.5
3/5/2013,2440470.72,1954056.55
3/6/2013,3247761.18,2622451.1
3/7/2013,4017685.67,3191424.08
3/8/2013,3622255.55,2838056.23
3/9/2013,3263371.09,2560913.71
3/10/2013,3510986.19,2877727.07
3/11/2013,3242639.13,2568418.97
3/12/2013,3660190.99,2853606.73
3/13/2013,4335373.37,3463021.54
3/14/2013,6692797.3,5359353.2
3/15/2013,5330057.69,4206775.58
3/16/2013,3591734.21,2762570.88
3/17/2013,4401297.64,3565497.63
3/18/2013,4567013.37,3743618.37
3/19/2013,4645433.62,3929520.42
3/20/2013,4992105.19,4308112.41
3/21/2013,7355693.45,6496769.78
3/22/2013,6603332.26,6021167.98
3/23/2013,6009508.61,5393148.03
3/24/2013,5088153.2,4610104.28
3/25/2013,4694308.82,4169990.65
3/26/2013,5731432.22,5192620.7
3/27/2013,6872130.59,6081507.57
3/28/2013,8099154.93,7239463.63
3/29/2013,8381683.44,7644413.84
3/30/2013,11636994.38,10600188.31
3/31/2013,9455023.8,8513517.85
4/1/2013,10313848.23,9188774.52
4/2/2013,8250013.05,7374699.1
4/3/2013,8740749.51,7769943.74
4/4/2013,4270660.8,3779960.51
4/5/2013,3073716.42,2637291.44
4/6/2013,3663196.56,3221790.63
4/7/2013,2924734.26,2598895.09
4/8/2013,4670874.28,4351446.44
4/9/2013,4293257.18,3845242.09
4/10/2013,6011834.78,5327749.04
4/11/2013,4244755.76,3794688.65
4/12/2013,4282161.81,3850989.97
4/13/2013,5214391.75,4691901.42
4/14/2013,4506492.03,3873550.82
4/15/2013,5167610.5,4514315.72
4/16/2013,5887221.88,4755791.57
4/17/2013,8104639.53,6617328.78
4/18/2013,6536742.64,5253454.75
4/19/2013,5871312.85,4657092.08
4/20/2013,6012115.71,4722140.67
4/21/2013,6323547.99,5021941.78
4/22/2013,7292352.56,5866886.82
4/23/2013,8757473.08,6907927.03
4/24/2013,9358565.61,7286897.36
4/25/2013,9127283,7206948.14
4/26/2013,6156392.84,4860244.05
4/27/2013,6420235.09,5103697.51
4/28/2013,9099343.31,7234100.22
4/29/2013,13160942.22,10423989.71
4/30/2013,11190466.86,8842281.65
5/1/2013,13051232.31,10395426.51
5/2/2013,11179665.29,8989067.99
5/3/2013,8173550.12,6507576.59
5/4/2013,3225175.57,2586608.79
5/5/2013,3906711,3268319.42
5/6/2013,4311626.38,3384442.35
5/7/2013,3763332.37,3079887.85
5/8/2013,5458168.5,4267785.48
5/9/2013,5815611.07,4647084.74
5/10/2013,4248246.45,3392369.6
5/11/2013,4388803.6,3347274.34
5/12/2013,4298069.68,3423974.02
5/13/2013,4663488.62,3677688.54
5/14/2013,5622176.45,4515976.68
5/15/2013,6416011.44,5136196.06
5/16/2013,7727680.05,6101584.58
5/17/2013,6520355.77,5213542.1
5/18/2013,5126131.05,4165368.61
5/19/2013,5417543.03,4323889.4
5/20/2013,5837064.06,4872375.63
5/21/2013,5156527.79,4086850.49
5/22/2013,6977473.78,5617374.39
5/23/2013,9166919.02,7150676.62
5/24/2013,6670030.19,5242528.96
5/25/2013,5054594.94,3916382.21
5/26/2013,3649585.05,2889501.26
5/27/2013,4403026.04,3471897.02
5/28/2013,6274027.61,4977411.59
5/29/2013,7359639.59,5841803.19
5/30/2013,12828293.48,10036927.65
5/31/2013,13809349.18,11231361.14
6/1/2013,13162597.88,10314262.16
6/2/2013,12079925.72,9610953.04
6/3/2013,9411997.25,7525850.2
6/4/2013,5397308.75,4297393.33
6/5/2013,6860958.96,5505167.85
6/6/2013,5692902.11,4632206.37
6/7/2013,3843507.28,2986865.05
6/8/2013,3646959.35,2897196.14
6/9/2013,3880132.51,3070545.08
6/10/2013,4476887.83,3582347.82
6/11/2013,5003847.86,3903592.44
6/12/2013,7209020.15,5796177.46
6/13/2013,6845836.24,5559998.61
6/14/2013,4871516.57,3975403.65
6/15/2013,5166292.57,4029821.84
6/16/2013,5794009.15,4551326.63
6/17/2013,5795298.96,4637293.92
6/18/2013,6632615.61,5459331.17
6/19/2013,7437341.02,6031157.35
6/20/2013,7078652.68,5515676.8
6/21/2013,5526354.45,4396745.86
6/22/2013,5117274.96,4111300.17
6/23/2013,5844565.63,4855247.11
6/24/2013,5243774.5,4800223.91
6/25/2013,6728887.1,6142934.34
6/26/2013,8817278.13,8290194.65
6/27/2013,7748199.74,7462815.86
6/28/2013,6285354.21,6043485.1
6/29/2013,9546012.78,9167617.84
6/30/2013,7372318.59,7149429.97
7/1/2013,6359864.53,6248239.94
7/2/2013,7209130.33,6927420.38
7/3/2013,8038680.63,7869401.17
7/4/2013,2521315.44,2408274.98
7/5/2013,2494107.65,2432073.97
7/6/2013,2452372.43,2331799.51
7/7/2013,2958215.01,2950992.63
7/8/2013,2571901.18,2450996.77
7/9/2013,4624825.33,4592718.95
7/10/2013,3855254.64,3797797.81
7/11/2013,5785320.61,5626075.87
7/12/2013,6053300.71,5886949.95
7/13/2013,4161301.31,3995435.41
7/14/2013,4482102.22,4419156.67
7/15/2013,4387240.36,4219310.04
7/16/2013,4411030.39,4135243.61
7/17/2013,4475453.64,4375610.63
7/18/2013,6265533.39,6163756.55
7/19/2013,6310739.5,5960928.51
7/20/2013,4157746.85,3978173.28
7/21/2013,4847680.2,4301699.27
7/22/2013,5926190.4,5032346.99
7/23/2013,4436778.28,3552350.42
7/24/2013,7329505.1,5924978.27
7/25/2013,6342757.31,4978292.65
7/26/2013,6941436.71,5543496.22
7/27/2013,4353958.13,3499528.32
7/28/2013,6017516.42,4917333.26
7/29/2013,8158241.16,6599164.67
7/30/2013,7711378.77,7073525.07
7/31/2013,10104475.36,10851542.12
8/1/2013,10998208.4,12167214.07
8/2/2013,7422715.15,9601836.11
8/3/2013,5599602.67,7786528.35
8/4/2013,5021938.29,7089757.76
8/5/2013,2231563.34,3064145.21
8/6/2013,2493225.51,3592496.3
8/7/2013,2638845.23,3381813.66
8/8/2013,3065089,4223344.7
8/9/2013,2598855.08,3418548.13
8/10/2013,1776113.02,2320738.01
8/11/2013,2074476.53,2834815.33
8/12/2013,1933036.01,2566277.36
8/13/2013,2531884.21,3266499.42
8/14/2013,2791478.67,3740726.27
8/15/2013,3665019.45,4896607.22
8/16/2013,3619170.1,4661015.06
8/17/2013,3066137.96,4129676.85
8/18/2013,2385617.18,2947242.18
8/19/2013,2870843.18,3669528.41
8/20/2013,2730112.88,3528369
8/21/2013,2707776.73,3591906.04
8/22/2013,3821233.2,5275320.79
8/23/2013,3454696.96,4693020.59
8/24/2013,2837188.07,4087795.83
8/25/2013,3018860.44,3945685.24
8/26/2013,3465971.03,4845153.03
8/27/2013,3008572.56,3950990.04
8/28/2013,3749158.5,4845899.79
8/29/2013,6385124.62,8251851.88
8/30/2013,5499141.72,7247803.25
8/31/2013,6810100.27,8325085.12
9/1/2013,6018993.92,6937336.62
9/2/2013,5386759.65,5986639.99
9/3/2013,4126941.12,3701795.41
9/4/2013,5401049.96,4808183.3
9/5/2013,3168900.6,2729766.04
9/6/2013,2705040.33,2367475.06
9/7/2013,2468479.29,2187848.67
9/8/2013,3056823.21,2611808.27
9/9/2013,3771227.87,3399993.99
9/10/2013,5357130.97,4737093.81
9/11/2013,4636476.74,4075727.91
9/12/2013,3865949.23,3502787.78
9/13/2013,3034568.95,2783517.1
9/14/2013,3664631.38,3289032.18
9/15/2013,3078369.62,2753095.6
9/16/2013,3927167.34,3489729.16
9/17/2013,5410121.46,4728526.43
9/18/2013,4460453.69,3992756.75
9/19/2013,2995364.48,2599191.98
9/20/2013,3316913.08,3045593.87
9/21/2013,3799564.88,3399323.86
9/22/2013,3243304.2,2980813.06
9/23/2013,4426354.9,3977701.82
9/24/2013,4673257.46,4051335.39
9/25/2013,4851490.55,4336304.71
9/26/2013,4120039.5,3761711.17
9/27/2013,4676571.41,4202205.54
9/28/2013,7035889.97,6246182.51
9/29/2013,5087376.98,4359895.07
9/30/2013,5768935.23,5117966.77
10/1/2013,5389130.81,4591599.54
10/2/2013,5393969.29,4651419.05
10/3/2013,2026611.74,1672946.51
10/4/2013,2912944.43,2284930.64
10/5/2013,2463961.82,1952842.64
10/6/2013,2875234.12,2170808.86
10/7/2013,2084519.3,1674894.34
10/8/2013,2982770.86,2404722.52
10/9/2013,3524600.98,2822967.5
10/10/2013,4018321.34,3267316.51
10/11/2013,1938342.36,1556262.82
10/12/2013,3170838.37,2562812.71
10/13/2013,3719451.39,2946745.46
10/14/2013,3097590.81,2398025.79
10/15/2013,4062456.23,3281418.54
10/16/2013,4801027.51,3944302.72
10/17/2013,3348412.32,2713865.33
10/18/2013,3238854.55,2560313.88
10/19/2013,3376648.2,2769325.22
10/20/2013,2888479.98,2302148.44
10/21/2013,3409990.75,2751364.44
10/22/2013,3932052.89,3189287.97
10/23/2013,4895108.72,3861527.06
10/24/2013,4333852.18,3403031.49
10/25/2013,3503713.92,2743366.59
10/26/2013,2923604.47,2331573.03
10/27/2013,2949737.88,2365410.99
10/28/2013,3235799.73,2588267.2
10/29/2013,5981959.98,4833162.34
10/30/2013,6960811.52,5563340.73
10/31/2013,5649038.29,4525813.51
11/1/2013,4823330.61,3780905.84
11/2/2013,4871579.51,3874376.58
11/3/2013,2310551.56,1894570.42
11/4/2013,2638652.15,2128739.96
11/5/2013,3529966.51,2818098.89
11/6/2013,2440647.75,1890461.99
11/7/2013,2145217.46,1755584.37
11/8/2013,2200221.02,1790704.8
11/9/2013,2018930.67,1594615.53
11/10/2013,2722218.97,2099682.78
11/11/2013,3495969.18,2676318.51
11/12/2013,5162437.56,3979066.87
11/13/2013,4681263.25,3622930.35
11/14/2013,3118904.74,2460188.52
11/15/2013,3370811.62,2719077.99
11/16/2013,3365890.12,2733920.22
11/17/2013,2416530.15,1906202.04
11/18/2013,2109164.6,1778409.36
11/19/2013,3237660.32,2746026.34
11/20/2013,3321114.32,2983892.23
11/21/2013,2595234.4,2362389.95
11/22/2013,2550262.64,2542345.82
11/23/2013,2054330.57,2011741.48
11/24/2013,2519706.85,2537974.67
11/25/2013,2406331.38,2358037.25
11/26/2013,3107204.99,3083734.78
11/27/2013,3123410.59,3027393.58
11/28/2013,3580033.44,3514991.8
11/29/2013,1768057.43,1773822.57
11/30/2013,2685677.46,2672025.29
12/1/2013,2391698.09,2420438.06
12/2/2013,2263746.75,2226485.61
12/3/2013,1933337.47,1904782.57
12/4/2013,2924599.17,2877557.67
12/5/2013,2231578.75,2246889.53
12/6/2013,1718341.54,1744505.5
12/7/2013,1444180.43,1408359.66
12/8/2013,1714762.98,1677034.75
12/9/2013,1959405.6,1928205.78
12/10/2013,2256213.74,2198430.55
12/11/2013,3016597.65,3024225.14
12/12/2013,2988571.87,2946591.17
12/13/2013,2131538.29,2083673.81
12/14/2013,2245758.87,2305729.18
12/15/2013,2154695.59,2095032.07
12/16/2013,2694197.04,2720062.14
12/17/2013,3167410.81,3021649.06
12/18/2013,3189533.36,3219583.56
12/19/2013,3062553.19,2981811.67
12/20/2013,2500743.7,2516358.41
12/21/2013,3213344.27,3159953.94
12/22/2013,3476225.97,3458589.82
12/23/2013,2932660.62,2856672.71
12/24/2013,2629786.52,2542278.8
12/25/2013,3807864.44,3711704.9
12/26/2013,3278628.42,3269160.78
12/27/2013,1853472.36,1854636.14
12/28/2013,3547336.16,3487806.62
12/29/2013,6516622.75,6506519.56
12/30/2013,5792994.45,5695206.04
12/31/2013,6247467.59,6080338.22
1/1/2014,5743739.48,5563113.31
1/2/2014,3787850.5,3666330.68
1/3/2014,2354832.6,1871645.41
1/4/2014,2243604.06,1747621.88
1/5/2014,2361866.5,1851453.14
1/6/2014,2639202.87,2146455.69
1/7/2014,3437125.39,2809411.95
1/8/2014,2250519.73,1808614.16
1/9/2014,2214274.18,1884156.18
1/10/2014,1886360.71,1560748.05
1/11/2014,2550841.93,2031865.95
1/12/2014,2172729.29,1773388.32
1/13/2014,2467719.52,1991302.84
1/14/2014,3356963.59,2731972.75
1/15/2014,3637788.72,2842296.43
1/16/2014,2005770.41,1635446.76
1/17/2014,2464459.86,2002144.2
1/18/2014,1718246.3,1332157.65
1/19/2014,2453121.94,1918965.99
1/20/2014,3133739.97,2422846.03
1/21/2014,3590697.9,2848601.86
1/22/2014,3244854.06,2563525.38
1/23/2014,3187811.81,2528375.63
1/24/2014,1812010.8,1397879.36
1/25/2014,2221742.74,1777122.99
1/26/2014,2002533.83,1553846.68
1/27/2014,2983790.31,2360438.19
1/28/2014,5411096.61,4320849.3
1/29/2014,4892083.36,3928929.64
1/30/2014,3844256.32,3007196.76
1/31/2014,3732079.59,2938223.15
2/1/2014,3825094.63,3049434.19
2/2/2014,2382294.19,1885054.33
2/3/2014,2051412.93,1563684.31
2/4/2014,2787111.54,2197609.21
2/5/2014,2599325.56,2019260.92
2/6/2014,2415914.42,1966150.9
2/7/2014,3381887.13,2654650.93
2/8/2014,2907660.51,2328115.15
2/9/2014,2947940.87,2410207.36
2/10/2014,3705563.44,2772562.54
2/11/2014,4637151.61,3649526.8
2/12/2014,3457342.17,2728834.4
2/13/2014,3190217.92,2601375.48
2/14/2014,2632487,2058838.35
2/15/2014,2873057.42,2155414.19
2/16/2014,3990264.22,3220526.51
2/17/2014,3757742.25,3005221.34
2/18/2014,4902775.35,3900047.01
2/19/2014,4469573.84,3530912.16
2/20/2014,3050037.65,2452045.97
2/21/2014,3394380.68,2732646.22
2/22/2014,4262143.74,3402076.06
2/23/2014,3997442.72,3186343.91
2/24/2014,4743111.4,3834496.32
2/25/2014,6869199.08,5572490.58
2/26/2014,7766238.39,6157127.45
2/27/2014,5932389.78,4717814.02
2/28/2014,5511196.67,4511480.57
3/1/2014,4400079.49,3611872.46
3/2/2014,4943352.33,3968450
3/3/2014,3637156.46,2881941.03
3/4/2014,4742209.79,3846248.96
3/5/2014,5310211.41,4366670.54
3/6/2014,5506734.13,4454685.13
3/7/2014,3167820.98,2582186.62
3/8/2014,3577664.95,2914921.51
3/9/2014,3828277.38,3070464.44
3/10/2014,4725035.68,3759283.28
3/11/2014,5775004.59,4559934.88
3/12/2014,6930320.53,5534691.64
3/13/2014,5304893.97,4244468.26
3/14/2014,4544809.4,3647946.39
3/15/2014,4691387.16,3744464.98
3/16/2014,5553669.8,4426899.92
3/17/2014,6623777.28,5406586.76
3/18/2014,5707570.51,4657479.17
3/19/2014,7282983,6147005.74
3/20/2014,6459634.76,5394910.61
3/21/2014,4506741.28,3883392.78
3/22/2014,4682426.76,4390336.24
3/23/2014,5239607,4727286.58
3/24/2014,5516390.06,5135733.73
3/25/2014,6858764.17,6248964.6
3/26/2014,7966063.19,7366934
3/27/2014,8330175.47,7600114.49
3/28/2014,5747360.19,5214181.96
3/29/2014,6857129.34,6302802
3/30/2014,12784107.1,11757805.12
3/31/2014,12312523.89,11321960.71
4/1/2014,12163891.23,11150883.99
4/2/2014,13046471.25,11843249.22
4/3/2014,9642469.77,8683847.27
4/4/2014,3027057.03,2762337.1
4/5/2014,4578612.03,4277766.79
4/6/2014,4749333.13,4416528.48
4/7/2014,4614814.59,4275798.75
4/8/2014,6392830.04,5806623.81
4/9/2014,6139037.72,5584747.6
4/10/2014,5203589.72,4738923.88
4/11/2014,5105964.56,4552400.07
4/12/2014,5687376.75,5248378.46
4/13/2014,4945405.38,4494711.75
4/14/2014,6921493.59,6054527.76
4/15/2014,7871571.71,6776042.49
4/16/2014,7912857.96,6785359.76
4/17/2014,5557754.18,4737292.06
4/18/2014,5700339.67,4462371.41
4/19/2014,6624958.05,5350753.37
4/20/2014,6418388.34,5065177.85
4/21/2014,8414591.83,6893636.69
4/22/2014,10131097.46,8109722.27
4/23/2014,8191044.84,6573636.73
4/24/2014,6761050.63,5427294.9
4/25/2014,7297129.72,5878423.04
4/26/2014,7473782.26,5884034.36
4/27/2014,9019804.81,7060147.55
4/28/2014,11814441.72,9367036.91
4/29/2014,17347427.27,13752034.86
4/30/2014,13811054.06,10868835.13
5/1/2014,13289875.45,10604429.39
5/2/2014,9037359.63,7277515.81
5/3/2014,8214103.42,6577016.62
5/4/2014,2887053.22,2293661.95
5/5/2014,4251113.98,3397014.1
5/6/2014,5130961.6,4130431.51
5/7/2014,6175024,5012292.24
5/8/2014,6845994.59,5424944.1
5/9/2014,3896896.85,3172234.57
5/10/2014,5476367.67,4341371.17
5/11/2014,5960839.36,4817268.38
5/12/2014,6171798.51,4876269.62
5/13/2014,6357034.06,5124302.35
5/14/2014,8953168.22,7238881.78
5/15/2014,7521179.22,5970183.39
5/16/2014,7254155.54,5828882.18
5/17/2014,6473741.19,5173264.38
5/18/2014,7502869.16,6017924.93
5/19/2014,6717427.22,5373895.24
5/20/2014,6998009.98,5565704.32
5/21/2014,9232803.8,7257287.25
5/22/2014,8682669.79,6984588.89
5/23/2014,6481511.11,5117307.95
5/24/2014,5624884.34,4535522.53
5/25/2014,7834743.41,6254562.47
5/26/2014,7196331.6,5750840.38
5/27/2014,11197544.52,8926851.08
5/28/2014,14237002.33,11276884.86
5/29/2014,12708438.64,10157319.36
5/30/2014,13573669.01,10729950.95
5/31/2014,12424970.9,9985304.33
6/1/2014,11536710.05,9170211.02
6/2/2014,10120772.07,8076952.84
6/3/2014,7433951.35,5784897.37
6/4/2014,6422990.57,5214120.6
6/5/2014,4701261.04,3843536.1
6/6/2014,4455750.46,3475184.85
6/7/2014,5291724.53,4145797.41
6/8/2014,5672479.42,4555972.93
6/9/2014,5745736.68,4655455.78
6/10/2014,8176131.42,6751336.8
6/11/2014,6815089.25,5416132.65
6/12/2014,6198469.27,4930278.7
6/13/2014,5808360.57,4689299.84
6/14/2014,6159350.48,4887308.6
6/15/2014,6251988.62,5001362.67
6/16/2014,7506669.47,5993922.63
6/17/2014,7985873.38,6364228.97
6/18/2014,6928139.58,5573372.83
6/19/2014,5160401.64,4101123.87
6/20/2014,5726955.46,4649863.18
6/21/2014,5534870.9,4397465.45
6/22/2014,6871043.81,5449439.25
6/23/2014,7520898.79,6115811.37
6/24/2014,8318751.36,7165579.48
6/25/2014,7464560.81,6650267.82
6/26/2014,5465498.81,5160550.9
6/27/2014,6215342.27,5942103.5
6/28/2014,6715989.51,6489880.35
6/29/2014,10967240.25,10676762.03
6/30/2014,8960784.4,8779889.34
7/1/2014,9836345.7,9652958.13
7/2/2014,8037264.4,7829854.35
7/3/2014,6599126.14,6280312.35
7/4/2014,1539342.27,1546984.48
7/5/2014,2247607,2088267.2
7/6/2014,2992177.47,2950653.66
7/7/2014,3321041.63,3237780.91
7/8/2014,4389991.98,4344681.53
7/9/2014,5089459.45,5002533.36
7/10/2014,5277348.24,5193788.09
